,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.67,6825.5,6679.5,6862,7154,6168.5,6278,4453,5000.5,3066,2883.5,3066,2883.5
0.68,7008,6862,7044.5,7154,6314.5,6424,4562.5,5146.5,3102.5,2956.5,3102.5,2956.5
0.69,7227,7081,7263.5,7154,6497,6570,4672,5292.5,3175.5,3029.5,3175.5,3029.5
0.7,7227,7263.5,7263.5,7154,6643,6752.5,4781.5,5438.5,3248.5,3102.5,3248.5,3102.5
0.71,7227,7263.5,7263.5,7154,6825.5,6935,4927.5,5584.5,3321.5,3139,3321.5,3139
0.72,7227,7263.5,7263.5,7154,7008,7117.5,5037,5730.5,3431,3212,3431,3212
0.73,7227,7263.5,7263.5,7154,7227,7300,5183,5913,3504,3285,3504,3285
0.74,7227,7263.5,7263.5,7154,7227,7300,5329,6059,3577,3358,3577,3358
0.75,7227,7263.5,7263.5,7154,7227,7300,5475,6241.5,3686.5,3431,3686.5,3431
0.76,7227,7263.5,7263.5,7154,7227,7300,5621,6424,3759.5,3540.5,3759.5,3540.5
0.77,7227,7263.5,7263.5,7154,7227,7300,5767,6606.5,3869,3613.5,3869,3613.5
0.78,7227,7263.5,7263.5,7154,7227,7300,5949.5,6789,3942,3686.5,3942,3686.5
0.79,7227,7263.5,7263.5,7154,7227,7300,6095.5,7008,4051.5,3796,4051.5,3796
0.8,7227,7263.5,7263.5,7154,7227,7300,6278,7227,4161,3905.5,4161,3905.5
0.81,7227,7263.5,7263.5,7154,7227,7300,6460.5,7227,4270.5,4015,4270.5,4015
0.82,7227,7263.5,7263.5,7154,7227,7300,6679.5,7227,4416.5,4088,4416.5,4088
0.83,7227,7263.5,7263.5,7154,7227,7300,6862,7227,4526,4234,4526,4234
0.84,7227,7263.5,7263.5,7154,7227,7300,7081,7227,4672,4343.5,4672,4343.5
0.85,7227,7263.5,7263.5,7154,7227,7300,7081,7227,4818,4453,4818,4453
0.86,7227,7263.5,7263.5,7154,7227,7300,7081,7227,4964,4599,4964,4599
0.87,7227,7263.5,7263.5,7154,7227,7300,7081,7227,5146.5,4745,5146.5,4745
0.88,7227,7263.5,7263.5,7154,7227,7300,7081,7227,5292.5,4927.5,5292.5,4927.5
