,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.79,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5,1131.5
0.8,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168
0.81,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5
0.82,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241
0.83,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5,1277.5
0.84,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
0.85,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5,1350.5
0.86,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5,1423.5
0.87,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
0.88,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
0.89,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5,1569.5
0.9,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5,1642.5
0.91,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5,1715.5
0.92,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
0.93,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5,2080.5
0.94,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482
0.95,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5,2956.5
0.96,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5,3540.5
0.97,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307
0.98,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5,5365.5
0.99,7154,7154,7154,7154,7154,7154,7154,7154,7154,7154,7154,7154
